Time in Seconds,Stars (Max: 5),Weighted Rating,Price
26880.0,5.0,8.125926802707886,15.6
18960.0,4.5,6.833031732786201,13.22
53640.0,4.0,4.04305126783455,21.49
25920.0,4.0,7.29776828253138,20.99
51180.0,4.0,3.8918202981106265,17.9
40440.0,4.5,6.641182169740591,18.0
27240.0,4.5,5.270432163058501,18.15
29640.0,4.0,6.690842277418564,18.0
27420.0,4.0,5.517452896464707,21.04
31020.0,5.0,3.58351893845611,21.49
79140.0,4.0,5.942799375126701,27.99
56340.0,4.5,5.634789603169249,22.5
63000.0,4.5,4.6491870714048655,17.19
21120.0,4.5,5.5154428455366835,17.19
21360.0,4.5,5.31566600488265,19.95
35460.0,4.5,5.293304824724492,25.19
37620.0,4.0,2.833213344056216,17.19
75480.0,4.5,4.1588830833596715,21.49
57480.0,4.5,4.460144413937834,22.5
30060.0,4.0,7.29505641646263,15.47
19080.0,4.0,2.833213344056216,13.99
27060.0,3.5,3.2386784521643803,17.19
34020.0,4.5,5.0369526024136295,15.75
58080.0,4.5,6.131226489483141,25.79
25740.0,5.0,3.4339872044851463,17.19
72120.0,4.5,3.7256934272366524,39.96
83400.0,4.0,3.4965075614664802,25.79
35580.0,4.5,8.688116703257823,20.24
27240.0,4.5,5.53338948872752,19.95
52620.0,5.0,4.61512051684126,27.99
19800.0,4.0,7.795234929002173,13.5
34620.0,4.5,6.752270376141742,15.47
24420.0,5.0,6.066108090103747,13.22
45300.0,5.0,4.2626798770413155,21.49
17700.0,4.0,4.174387269895637,11.17
24720.0,3.5,7.533693709848633,19.95
10740.0,4.0,3.367295829986474,11.17
48840.0,4.5,5.420534999272286,25.79
17580.0,5.0,6.628041376179533,14.95
144720.0,4.5,7.665753431861699,38.99
25680.0,4.5,6.454412090629509,14.61
22500.0,4.5,4.51085950651685,17.19
33840.0,4.5,6.091309882077698,18.0
124020.0,4.5,7.8198371660822374,37.49
46020.0,4.5,5.0072963928307415,21.49
28080.0,4.5,7.796057974316123,21.35
50940.0,4.5,3.9219733362813143,24.95
59940.0,3.5,4.04305126783455,24.95
10020.0,4.5,5.82452409235233,11.66
34080.0,4.0,5.10594547390058,21.49
48960.0,4.5,4.912654885736052,17.9
43140.0,5.0,3.4339872044851463,24.95
20880.0,4.0,6.061456918928017,17.47
40440.0,4.5,3.332204510175204,21.83
20220.0,5.0,5.942799375126701,19.79
40560.0,4.0,6.4692503167957724,17.62
56820.0,4.5,4.290459441148391,17.09
28740.0,4.0,5.53338948872752,20.99
38100.0,4.5,3.7256934272366524,29.63
24600.0,5.0,6.3473892096560105,19.79
25260.0,4.0,3.6109179126442243,19.95
54960.0,4.0,5.820082930352362,25.0
37260.0,4.5,5.602118820879701,18.0
68580.0,4.5,4.7318028369214575,25.19
37560.0,4.0,6.3784261836515865,24.95
56760.0,4.5,4.879006851617819,17.19
91560.0,4.5,5.270432163058501,39.95
12240.0,4.5,5.22305488204749,13.5
19440.0,4.5,5.358941988364472,19.49
38220.0,4.5,7.198557478770161,18.0
51300.0,5.0,5.111987788356544,24.95
6480.0,4.5,9.088963385809583,10.8
50340.0,4.5,6.410996912427582,21.49
23280.0,4.5,5.972536537222463,13.5
98340.0,5.0,3.258096538021482,29.95
29160.0,4.5,5.937536205082426,15.56
11220.0,4.5,5.7120812774708964,13.5
27720.0,4.5,6.9980529169629175,15.56
21120.0,4.5,4.7318028369214575,14.61
20220.0,4.0,4.61512051684126,20.0
